Item Name,Qty,Price (total) (USD),Item link,Notes
Two Trees SH10A SK10 10mm linear bearing rail support,8,$5.85 (INR 560.00),https://robu.in/product/sk10-10mm-linear-bearing-rail-support-xyz-shaft-table-cnc-router-sh10a/,
SC10UU 10 mm linear ball bearing slide unit,4,$6.39 (INR 612.00),https://robu.in/product/sc10uu-10-mm-linear-ball-bearing-slide-unit-cnc-3d-printer/,
Aluminum GT2 timing pulley 20 tooth 5mm bore for 6mm belt (2 pcs),1,$1.37 (INR 131.00),https://robu.in/product/aluminum-gt2-timing-pulley-for-6mm-belt-20-tooth-5mm-bore-2pcs/,
Arduino Uno R3 with cable,1,$4.17 (INR 398.97),https://robu.in/product/arduino-uno-r3/,
CNC Shield V3,1,$1.03 (INR 99.00),https://robu.in/product/cnc-shield-v3-engraving-machine-3d-printer-a4988-drv8825-driver-expansion-board/,
TMC2209 stepper motor driver module with heatsink,2,$13.55 (INR 1298.00),https://robu.in/product/tmc2209-stepper-motor-driver-module-with-heatsink/,
Standard 12V 5A 60W power supply with 5.5mm DC plug,1,$4.44 (INR 425.00),https://robu.in/product/orange-ac-100-240v-to-dc-12v-5a-60w-power-adapter/,
"20cm Dupont jumper cable female to female, 40 pcs",1,$0.43 (INR 41.00),https://robu.in/product/20cm-dupont-wire-color-jumper-cable-2-54mm-1p-1p-female-female-40pcs/,
"10 wire male to female jumper wires, 20cm",1,$0.14 (INR 13.00),https://robu.in/product/10-wire-male-to-female-jumper-wires-20cm/,
1k ohm 0.25W metal film resistor,17,$0.11 (INR 10.20),https://robu.in/product/1k-ohm-0-25w-metal-film-resistor-pack-of-100/,"1 needed, 16 extra as the site im ordering from (robu.in) does not allow ordering components below 10 rupees"
1000uF 25V electrolytic capacitor,2,$0.23 (INR 22.00),https://robu.in/product/1000uf-25v-electrolytic-capacitor-dip-pack-of-5/,"1 needed, 1 extra"
Rubycon 35ZLH100M 100uF 35V electrolytic capacitor,4,$0.16 (INR 15.64),https://robu.in/product/35zlh100mefct16-3x11-rubycon-100uf-35v-%c2%b120-plugind6-3xl11mm-aluminum-electrolytic-capacitors-leaded-rohs/,"3 needed, 1 extra"
Heat shrink sleeve 3mm black (WOER),4,$0.25 (INR 24.00),https://robu.in/product/heat-shrink-sleeve-3mm-black-industrial-grade-woer-hst/,
StepperOnline 17HE15-1504S NEMA17 stepper motor 42Ncm 1.5A with 1m cable,2,$15.64 (INR 1498.00),https://robu.in/product/stepperonline-nema-17-42ncm-bipolar-stepper-motor/,
"5mm DC jack socket female connector with moulded wire, 15cm",1,$0.22 (INR 21.00),https://robu.in/product/5mm-dc-jack-socket-female-jack-socket-with-wire/,
"1.3 inch I2C 4 pin OLED display module, blue",1,$3.02 (INR 289.00),https://robu.in/product/1-3-inch-i2c-iic-4-pin-oled-display-module-with-vcc-gnd-blue/,
5V active electromagnetic buzzer,1,$0.17 (INR 16.00),https://robu.in/product/5v-active-electromagnetic-buzzer-pack-of-5/,
"Lanboo LB16QC-P10F 16mm push button switch, blue, DC 5-24V, 1NO",1,$4.62 (INR 442.00),https://robu.in/product/lb16qc-p10f-lanboo-16mm-tact-push-button-switch-bluedc-5-24v1no/,
6A 250V AC SPST ON-OFF rocker switch,1,$0.17 (INR 16.00),https://robu.in/product/6a-250v-ac-spst-on-off-rocker-switch/,
"UNI-T UT890D+ digital multimeter, True RMS 6000 count",1,$19.83 (INR 1899.00),https://robu.in/product/uni-t-ut890d-digital-multimeter/,
